Princesa,Personalidad
Blancanieves,"Blancanieves es una princesa de noble cuna que se ve forzada a la servidumbre por su malvada madrastra, la Reina Grimhilde. Ella es inocente y un poco ingenua, pero nunca pierde la fe en su anhelo de que el verdadero amor algún día llegará a buscarla. Ella sigue siendo alegre y amable, sin importar lo mal que su malvada madrastra, la Reina Grimhilde, la trate.
Ella es una optimista nata, que siempre va a ver la botella medio llena, no importa lo sombrías que las cosas parezcan. Una soñadora en silencio, le encanta ayudar a los menos afortunados que ella y nunca juzga a la gente. Con una naturaleza amable, gentil y femenina, que sigue su corazón y hace lo que ella siente que es correcto incluso si eso puede traerle problemas. Por ejemplo, cuando ayuda a una sospechosa, vieja fea al llevarla a la casa después de que Gruñón le dijo que no permitiera entrar a nadie.
Ella ve el lado bueno de todo y de todos, casi hasta la exageración, pero a través de todo es una buena persona con un gran corazón y un alma maternal que puede encantar a cualquiera, incluso Gruñón.
Explicación: Blancanieves siempre obtuvo su lugar como una niña...No fue nunca irrespetuosa y a pesar de que su malvada madrastra, la Reina Grimhilde, fue mala con ella nunca le faltó al respeto y por eso esta le tuvo envidia por su pureza y su inocencia."
Cenicienta,"Cenicienta es inicialmente una sirvienta en su casa y es constantemente objeto de burla por su malvada madrastra Lady Tremaine y sus dos hermanastras. Aunque ella es maltratada y humillada ella mantiene la esperanza a través de sus sueños. Ella es fiel a la idea de que algún día sus deseos de felicidad se harán realidad. Cuando su malvada madrastra y sus dos malvadas hermanastras le impiden ir al baile, su corazón es destrozado y se siente sola. Sin embargo, su hada madrina aparece y le devuelve la esperanza.
Cenicienta es de carácter fuerte y determinado, cuando la invitación al baile real llega, ella hace todo lo que pueda para persuadir a su madrastra que ella tiene todo el derecho a asistir. Ella se presenta en la película como una heroína simpática, bien intencionada, muy trabajadora, y positiva.
En Cenicienta III, su determinación se pone a prueba cuando ella pasa a través de todas las dificultades para probar a su príncipe que ella es su verdadero amor. En esta película es vista en un papel muy alimento y, finalmente, se entera de que si quieres un sueño hecho realidad, tienes que ayudar a hacerlo realidad.
"
Aurora,"La Princesa Aurora, la Bella Durmiente, es la hija única de la Reina Flor y el Rey Estéfano. La Princesa Aurora, la Bella Durmiente, es retratada como una chica amable, juguetona, tímida, gentil, y bastante ingenua, que ama a los animales. Su rasgo de personalidad más destacado es su pasión por el amor y es vista como una romántica empedernida. Las hadas buenas del reino la han bendecido con la belleza y el don del canto. Ella se siente sola la mayor parte de la película, ya que está aislada del castillo de su padre dónde ha nacido en una cabaña en el bosque llamada la Cabaña del Leñador con sus tres hadas buenas y madrinas Flora, Fauna y Primavera.
En La Bella Durmiente, cuando llega de recoger las fresas, el hada Flora revela su nombre largo: Rosabelle.
Amante de las cosas simples de la vida, Aurora a menudo se pregunta por qué sus tías la tratan como a una niña. Ella desea conocer gente nueva, conocer nuevos lugares y tomar sus propias decisiones.
Pero aun así, ya que es joven e ingenua sobre el mundo a su alrededor, ella siente que sus tías saben qué es lo mejor para ella y es muy obediente hacia ellas. Por ejemplo, escapa del Príncipe Felipe cuando se da cuenta que está hablando con un extraño, algo que las hadas le habían dicho que no hiciera. También cuando está bajo el hechizo de la malvada bruja Maléfica y está a punto de tocar el eje, vacila cuando escucha las hadas decirle que no toque nada, solo para ser abrumada por el poder malvado de Maléfica.
Es muy generosa y solo piensa en lo que otros quieren de ella, en lugar de lo que quiere para sí misma, ya que está de acuerdo en volver a su palacio, pensando que ella nunca verá a su verdadero amor de nuevo.
En Cuentos Encantados de las Princesas Disney: Sigue Tus Sueños, Aurora demuestra haber madurado desde la primera película. Se presenta muy responsable, trabajadora, segura de sí misma, cortés, segura y fuerte de mente. Es menos dependiente de sus tías y finalmente es capaz de hacer las cosas a su manera y tomar sus propias decisiones. También llega a creer que la perseverancia, el trabajo duro y pegada a algo todo el camino a través de todo lo que hace mejor en el largo plazo.
"
Bella,"Bella es una muchacha que vive en la campiña francesa con su padre, un inventor. Ella es una hermosa campesina que le gusta leer y seguir las aventuras de su propia imaginación. Ella no es tímida y no tiene miedo de decir lo que piensa, sobre todo en situaciones difíciles, aunque puede ser un poco vacilante cuando está nerviosa. Ella es muy compasiva, y cuida de los necesitados. Ella puede ser terca y siempre trata de proteger a la gente que realmente ama. Ella también es muy paciente con los demás.
Una soñadora y una verdadera amante de la fantasía y la aventura, Bella es una astuta inconformista para su tiempo en muchos aspectos. El más pronunciado es su amor por los libros, entusiasmo y conocimiento, lo que la gente del pueblo ve extraño para una mujer. Gastón le dice en un punto, ""No es bueno que la mujer lea. Eso la hará... pensar..."". Bella también no se preocupa por las apariencias, si pertenecen a la misma o cualquier otra persona. Esto es muy irónico, teniendo en cuenta que es vista como la mujer más bella de su aldea. En la canción Bella, una mujer canta: ""Es tan hermosa como indica el nombre, de la cabeza hasta los pies"".
Cabe señalar que a través de la película, aunque más evidente en el musical de Broadway en su canción en solitario, Un Cambio en Mí, que Bella cambia su visión del mundo. Al principio ella ansía aventura y emoción, pero después de sus días con la Bestia, madura al ver que ya no necesita sus sueños de la niñez y ve que le gusta la vida como es ahora que ha encontrado su amor.
"
Jasmín,"Cuando se introdujo por primera vez, la Princesa Jasmín está a unos pocos días de su décimo quinto cumpleaños. Ella es la hija del sultán, que ha emitido, por ley, que debe elegir un marido (un príncipe) para casarse. Ella es una mujer joven y vigorosa, con una mente propia. Ella puede ser testaruda e impetuosa. Ella tiene un suministro inagotable de fuerza de voluntad, y es muy inteligente, pero a veces puede ser extremadamente arrogante. Aun así, Jasmín tiene un gran corazón y no duda en ayudar a quién la necesita."
Pocahontas,"El nombre de Pocahontas significa ""Pequeña Silenciosa"". Ella está basada en una figura histórica real, y nació en una cultura altamente sofisticada amerindia que tenía algunos conocimientos de los europeos.
Pocahontas se muestra como una bella joven de espíritu libre, noble, y altamente espiritual. Ser la hija mayor del jefe de la tribu conlleva un gran peso, por ello siempre se la relaciona como un símbolo de fuerza. Ella, además, expresa la sabiduría más allá de sus años y ofrece la bondad y la orientación a quienes la rodean. Le encanta la aventura y la naturaleza. En la película, parece tener poderes chamánicos, ya que es capaz de comulgar con la naturaleza, hablar con los espíritus, empatizar con los animales, y entender lenguas desconocidas.
En la secuela, Pocahontas, parece haber madurado después de pensar que John Smith ha muerto. Ella mantiene su espíritu independiente y alegre, pero es mucho más madura y segura de sí misma de lo que era en la primera película. Durante su estancia en Inglaterra, ella casi se pierde en el ajetreo y el bullicio de este nuevo mundo y se convierte en alguien quien no es. Pero al final ella tiene la intención valientemente a sacrificarse por la seguridad de su pueblo y regresa a su tierra natal, encontrándose a sí misma, y amor, una vez más.
"
Mulan,"Mulan es atípica a los anteriores papeles femeninos en las películas Disney. Es una joven bella, valiente, autosuficiente, y no se centra en el matrimonio. Asimismo, no se ajusta a las expectativas de una muchacha china de la época: elegante, discreta, y tranquila. En lugar de eso, es torpe, infantil, franca e independiente. Al comienzo de la primera película, presenta inseguridad y odio a sí misma, pensando que nunca va a traer honor a su familia. Como sigue la historia, empieza a ganar confianza en sí misma y, después de salvar a China, por fin se ve a sí misma como la persona que ella siempre quiso ser y el honor que ha traído a su familia.
Su coraje, inteligencia, determinación y extraordinario ingenio la ayuda a través de sus aventuras, mientras mantiene su respeto por los demás.
"
Tiana,"Es una joven camarera que sueña con ser dueña de su propio restaurante algún día. Durante una noche, ella se encuentra con el Príncipe Naveen, quien ha sido convertido en una rana por el Doctor Facilier, un malvado brujo vudú, y creyendo que ésta es una princesa debido que iba vestida como tal con un vestido de su amiga ya que se había manchado el suyo de camarera que usaba, le dice que si le besa se convertirá de nuevo en humano. Sin embargo, tras darle un beso, es Tiana quien se convierte también en rana, igual que el Príncipe Naveen. Los dos, convertidos en ranas, van en busca de alguien que rompa el hechizo.
"
Mérida,"Mérida llama la atención por su característico pelo anaranjado oscuro, rizado, largo y rebelde. Su piel es clara y sus ojos azules. Viste con trajes largos y de algodón, pero a la vez cómodos para facilitar el movimiento. Por otro lado, su figura es atlética y esbelta, propia de una deportista. El equipo de Pixar, tardó más de 3 años en lograr los rebeldes rizos que caracterizan a Mérida, existió tal desesperación con esta situación, que Pixar meditó cambiar el cabello de la protagonista por un cabello lacio, ya que la caída que tenían los rizos de esta no era la esperada. Después de discutirlo, los creadores estaban de acuerdo en que, al cambiar esta parte, con ella, cambiaría la personalidad de Mérida, así que decidieron seguir buscando hasta poder lograrlo. El cuerpo de Mérida no fue el típico de princesa, bien proporcionado y estilizado. Pixar quiso mostrar en ella un cuerpo atlético, con piernas y brazos fuertes, sin mucha grasa en el área del pecho."
Moana,"Moana, una joven de 16 años de edad, hija única y sucesora de un importante jefe, empieza a notar señales que le indican que la isla donde vive puede desaparecer. Ella quiere recuperar las costumbres ancestrales de su pueblo, especialmente sus exploraciones a través del océano, pero su padre se opone. Gracias a los consejos e indicaciones de su abuela Tala, una anciana de la tribu, consigue iniciar su viaje al lado de Maui con el fin de recuperar el corazón de la diosa para salvar su isla y su pueblo de la desaparición.
Para ello decide desobedecer a su padre, quien le prohíbe navegar más allá del arrecife. En la película se ve cómo usan canoas que les permitían pescar cerca de la costa, llamadas waka, pero Moana descubre embarcaciones mucho más grandes que usaban sus antepasados para colonizar diferentes islas, como las Hokule'a o canoas de doble casco2 . Durante el viaje se topa con Maui El Semidiós y juntos se embarcan en la aventura, donde se encuentran con diferentes obstáculos.
"
